Student,Q 1,Q 2,Q 3,Q 4,Q 5,Q 6,Q 7,Q 8,Q 9,Q 10,Q 11,Q 12,Q 13,Q 14,Q 15,Q 16,Q 17,Q 18,Q 19,Q 20,Q 21,Q 22,Q 23,Q 24,Q 25,Q 26,Q 27,Q 28,Q 29,Q 30,Q 31,Q 32,Q 33,Q 34
Student14, 3, 3, 3, 4, 4, 4, 4, 4, 1, 2, 3, 2, 3, 3, 4, 3, 4, 3, 3, 1, 2, 3, , , , , , , , , , , , 
Student15, 4, 3, 3, 3, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 4, 3, 3, 3, 4, 3, 3, 4, , , , , , , , , , , , 
Student16, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 2, 1, 3, 4, 3, 3, 4, 2, 3, 4, , , , , , , , , , , , 
Student17, 4, 3, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 4, 4, 4, 3, , , , , , , , , , , , , , , , , , 
Student18, 2, 3, 2, 1, 3, 2, 2, 1, 3, 3, 1, 2, 3, 1, 3, 2, 2, 3, 1, 2, 1, 3, 2, 4, 3, 4, 2, 0, , , , , , 
Student19, 4, 3, 4, 3, 3, 4, 3, 3, 4, 3, 4, 4, 3, 3, 4, 4, 4, 3, 3, 4, 3, 4, 4, 3, 3, 2, 3, 4, , , , , , 
Student20, 4, 4, 4, 3, 4, 4, 4, 3, 4, 4, 3, 4, 3, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 4, , , , , , 
Student21, 4, 3, 2, 3, 3, 2, 3, , 2, 4, 3, 1, 2, 3, 2, 3, 4, 2, 3, 2, 3, 2, 0, 0, 0, 0, 0, 0, , , , , , 
Student22, 2, 3, 1, 4, 2, 1, 3, 4, 1, 3, 2, 1, 4, 3, 3, 4, 4, 3, 3, 4, 4, 1, , , , , , , , , , , , 
Student23, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, , , , , , , , , , , , 
Student24, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 1, 3, 2, 4, 4, 2, 3, 2, 3, 2, 3, 3, , , , , , , , , , , , 
Student25, 3, 3, 4, 3, 4, 3, 2, 4, 4, 4, 2, 2, 2, 2, 3, 2, 4, 4, 3, 3, 4, , , , , , , , , , , , , 
Student26, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 3, 2, 3, 3, 3, 4, 3, 3, 4, 2, 3, 2, , , , , , , , , , , , 
Student27, 4, 4, 4, 3, 4, 4, 4, 3, 4, 3, 3, 2, 3, 3, 4, 3, 3, 3, 3, 3, 4, 2, , , , , , , , , , , , 
Student28, 4, 4, 4, 4, 3, 3, 3, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 3, 2, 3, 2, , , , , , , , , , , , 
Student29, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 4, 4, 4, 2, , , , , , , , , , , , 
Student30, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 4, 4, 3, 4, 4, 0, , 3, 0, , , , , , , , , , , , 
Student31, 3, 4, 3, 2, 4, 3, 4, 4, 3, 4, 4, 4, 3, 3, 3, 3, 4, 4, 3, 3, 4, 3, , , , , , , , , , , , 
Student32, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 3, 4, 4, 4, 3, 4, 3, , , , , , , , , , , , 
Student33, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, , , , , , , , , , , , 
Student34, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 3, 3, 4, 3, , , , , , , , , , , , 
Student35, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 3, 3, 3, , , , , , , , , , , , 
Student36, 4, 4, 4, 4, 4, 4, 4, 3, 2, 1, 2, 0, 3, 4, 4, 3, 2, 3, 4, 3, 2, 3, , , , , , , , , , , , 
Student37, 4, 4, 3, 3, 4, 3, 1, 3, 3, 2, 3, 2, 2, 4, 4, 3, , , , , , , , , , , , , , , , , , 
Student38, 4, 4, 4, 3, 4, 3, 4, 4, 2, 2, 3, 1, 4, 4, 4, 3, 4, 3, 3, 0, 4, 4, , , , , , , , , , , , 
Student39, 4, 4, 3, 4, 4, 3, 3, 2, 4, 2, 3, 3, 2, 3, 4, 3, 3, 2, 3, 2, 2, 3, , , , , , , , , , , , 
